Tag,swings,0.447731,-0.028975
Tag,scraping,0.137489,-0.074125
Tag,shake,0.338883,0.062145
Tag,scratch,0.338808,0.062216
Tag,sticks,0.308099,0.046388
Tag,scrape,0.319077,0.067104
Tag,outdoors,0.248898,0.112138
Tag,raking,0.175621,0.140058
Tag,dragging,-0.235595,0.412999
Tag,dry,0.068481,0.352002
Tag,crackle,0.334665,0.065744
Tag,broomstick,-0.198910,0.415372
Tag,passing,0.340383,0.076185
Tag,construction,0.340383,0.076185
Tag,crunching,0.095538,0.096385
Tag,gravel,0.246635,0.035352
Tag,crunchy,-0.306451,0.275640
Tag,nearby,-0.306451,0.275640
Tag,rocky,-0.306451,0.275640
Tag,army,0.265460,0.053028
Tag,soldiers,0.285893,0.048521
Tag,creak,0.296112,-0.156534
Tag,crunch,0.296160,-0.156204
Tag,bass,0.304537,-0.167144
Tag,deep,-0.413526,-0.174360
Tag,crackling,0.304579,-0.166987
Tag,rumble,0.296174,-0.156239
Tag,idling,0.304537,-0.167144
Tag,loud,-0.424537,-0.337321
Tag,leaving,0.300136,-0.217025
Tag,slowing,0.280748,0.091649
Tag,slurping,0.106310,0.118133
Tag,sipping,0.116689,0.120784
Tag,wildlife,0.280748,0.091649
Tag,animals,0.280776,0.091630
Tag,hum,0.252702,0.071506
Tag,campus,0.256726,0.085437
Tag,angry,-0.202014,0.326234
Tag,golf,0.264371,0.090846
Tag,occupied,-0.210718,0.331924
Tag,break,0.334928,-0.101963
Tag,shuffling,0.457654,-0.150234
Tag,throwing,0.367381,-0.052465
Tag,stick,0.443868,-0.152892
Tag,coins,0.198051,-0.264956
Tag,pencil,0.467788,-0.244998
Tag,table,0.443874,-0.153050
Tag,rocks,0.443879,-0.152957
Tag,direction,0.367969,-0.148556
Tag,guys,0.354796,-0.154972
Tag,preoccupied,-0.484928,-0.226258
Tag,active,0.367969,-0.148556
Tag,students,0.377626,-0.235784
Tag,airport,0.377626,-0.235784
Tag,flying,0.377626,-0.235784
Tag,whistle,0.359890,-0.106452
Tag,crash,0.358665,-0.107374
Tag,nature,0.373061,-0.103111
Tag,walk,0.359626,-0.107152
Tag,remote,-0.418614,0.182209
Tag,hooting,0.214777,0.140289
Tag,owls,0.383611,0.068487
Tag,wood,0.383591,0.068571
Tag,hit,0.376205,0.054952
Tag,pour,0.214727,0.140361
Tag,creature,0.383571,0.068591
Tag,lake,0.383591,0.068571
Tag,skating,-0.305666,-0.415791
Tag,rails,-0.305666,-0.415791
Tag,shovel,0.223719,-0.270283
Tag,change,0.223455,-0.269406
Tag,grinding,0.228783,-0.279563
Tag,sandpaper,0.223455,-0.269406
